idx,mae,rmse,corr,ssim,bias,std_ratio,pred_min,pred_max,gt_min,gt_max
0.000000000000000000e+00,1.527868676930665970e-02,1.905532367527484894e-02,9.334382555982408958e-01,3.607677122614950105e-01,7.561087608337402344e-03,1.000194311141967773e+00,3.255946328863501549e-03,2.634359300136566162e-01,0.000000000000000000e+00,2.758430540561676025e-01
1.000000000000000000e+00,1.466237846761941910e-02,1.831592619419097900e-02,9.398826175876423550e-01,3.588216131895589633e-01,6.876882165670394897e-03,1.009117603302001953e+00,3.240036312490701675e-03,2.620319128036499023e-01,0.000000000000000000e+00,2.745014727115631104e-01
2.000000000000000000e+00,1.445537526160478592e-02,1.816035434603691101e-02,9.407766511495884165e-01,3.448996071517904105e-01,6.679270416498184204e-03,1.009683251380920410e+00,3.306047758087515831e-03,2.631601691246032715e-01,0.000000000000000000e+00,2.660915553569793701e-01
3.000000000000000000e+00,1.407303288578987122e-02,1.771972887217998505e-02,9.437873107737447809e-01,3.478227766054007852e-01,6.425611674785614014e-03,1.006692647933959961e+00,2.389885950833559036e-03,2.628255188465118408e-01,0.000000000000000000e+00,2.664087712764739990e-01
4.000000000000000000e+00,1.344220899045467377e-02,1.708065718412399292e-02,9.461972960343784100e-01,3.870781423944664734e-01,5.006913095712661743e-03,1.016780257225036621e+00,1.758455531671643257e-03,2.691306471824645996e-01,0.000000000000000000e+00,2.974598705768585205e-01
5.000000000000000000e+00,1.285700220614671707e-02,1.647072099149227142e-02,9.485986974277453854e-01,3.667410132634609243e-01,4.004329442977905273e-03,1.024384737014770508e+00,2.714157570153474808e-03,2.649374902248382568e-01,0.000000000000000000e+00,2.700109183788299561e-01
6.000000000000000000e+00,1.302340812981128693e-02,1.666129380464553833e-02,9.462955686563091495e-01,3.760214954011286137e-01,3.412097692489624023e-03,1.033527255058288574e+00,2.624592278152704239e-03,2.645008265972137451e-01,0.000000000000000000e+00,2.823087573051452637e-01
7.000000000000000000e+00,1.262310054153203964e-02,1.620437577366828918e-02,9.488177721736081871e-01,3.660762522768463700e-01,2.863463014364242554e-03,1.028157711029052734e+00,2.185016404837369919e-03,2.539574503898620605e-01,0.000000000000000000e+00,2.675885856151580811e-01
8.000000000000000000e+00,1.269002351909875870e-02,1.621229015290737152e-02,9.513193017920466010e-01,3.799363511364751145e-01,4.680361598730087280e-03,1.026546955108642578e+00,2.519690198823809624e-03,2.519510984420776367e-01,0.000000000000000000e+00,2.684497535228729248e-01
9.000000000000000000e+00,1.238902192562818527e-02,1.585597358644008636e-02,9.517436362272935213e-01,3.646765053568595261e-01,3.591660410165786743e-03,1.023189663887023926e+00,2.294693142175674438e-03,2.542330622673034668e-01,0.000000000000000000e+00,2.572106719017028809e-01
1.000000000000000000e+01,1.270677521824836731e-02,1.625772751867771149e-02,9.499064261984513369e-01,3.642813200738186374e-01,4.154801368713378906e-03,1.022965550422668457e+00,2.533686580136418343e-03,2.718453407287597656e-01,0.000000000000000000e+00,2.656031548976898193e-01
1.100000000000000000e+01,1.272533833980560303e-02,1.620098203420639038e-02,9.492790994258419879e-01,3.683362489177137156e-01,3.915969282388687134e-03,1.035517573356628418e+00,1.646999153308570385e-03,2.559400200843811035e-01,0.000000000000000000e+00,2.586860656738281250e-01
1.200000000000000000e+01,1.267138682305812836e-02,1.615579612553119659e-02,9.493554594792124046e-01,3.868824845470223428e-01,3.864627331495285034e-03,1.031246542930603027e+00,1.584898331202566624e-03,2.508536279201507568e-01,0.000000000000000000e+00,2.749432325363159180e-01
1.300000000000000000e+01,1.269852463155984879e-02,1.636534743010997772e-02,9.442278020762365776e-01,3.417968001628309271e-01,1.138970255851745605e-04,1.033515572547912598e+00,3.185328328981995583e-03,2.479330003261566162e-01,0.000000000000000000e+00,2.569176256656646729e-01
1.400000000000000000e+01,1.261645741760730743e-02,1.621003448963165283e-02,9.446275198030310571e-01,3.304106737710305608e-01,8.561424911022186279e-04,1.020117878913879395e+00,4.131752531975507736e-03,2.351998090744018555e-01,0.000000000000000000e+00,2.482145577669143677e-01
1.500000000000000000e+01,1.268792431801557541e-02,1.632012613117694855e-02,9.433613240699703084e-01,3.432644288102330576e-01,-3.277882933616638184e-05,1.024385690689086914e+00,3.704497357830405235e-03,2.325861603021621704e-01,0.000000000000000000e+00,2.601038217544555664e-01
1.600000000000000000e+01,1.268670242279767990e-02,1.626725681126117706e-02,9.439321854991741256e-01,3.390650095170649747e-01,5.503483116626739502e-04,1.014812946319580078e+00,3.781440202146768570e-03,2.343195676803588867e-01,0.000000000000000000e+00,2.566131651401519775e-01
1.700000000000000000e+01,1.228369399905204773e-02,1.573202013969421387e-02,9.478567764831069553e-01,3.517807816057654247e-01,1.722443848848342896e-03,1.013417482376098633e+00,2.423373050987720490e-03,2.233968377113342285e-01,0.000000000000000000e+00,2.504396140575408936e-01
1.800000000000000000e+01,1.256519369781017303e-02,1.612233370542526245e-02,9.447431712862807140e-01,3.403694769119784969e-01,1.923918724060058594e-03,1.018639326095581055e+00,2.432131906971335411e-03,2.447277158498764038e-01,0.000000000000000000e+00,2.449783086776733398e-01
1.900000000000000000e+01,1.245577726513147354e-02,1.595325581729412079e-02,9.463483349572950898e-01,3.622780800170763427e-01,2.544339746236801147e-03,1.016842126846313477e+00,2.845812123268842697e-03,2.495484799146652222e-01,0.000000000000000000e+00,2.669320106506347656e-01
2.000000000000000000e+01,1.236069109290838242e-02,1.586117595434188843e-02,9.466748748975022387e-01,3.323647922853876779e-01,2.316456288099288940e-03,1.005278706550598145e+00,3.873024601489305496e-03,2.397936582565307617e-01,0.000000000000000000e+00,2.434179186820983887e-01
2.100000000000000000e+01,1.230858825147151947e-02,1.577819138765335083e-02,9.445495061929992664e-01,3.321273214068964363e-01,3.521330654621124268e-04,1.005513548851013184e+00,3.331894986331462860e-03,2.527871727943420410e-01,0.000000000000000000e+00,2.417649924755096436e-01
2.200000000000000000e+01,1.259103789925575256e-02,1.615961827337741852e-02,9.414568825828375509e-01,3.379413826689978140e-01,1.302834600210189819e-03,9.904519319534301758e-01,3.667218843474984169e-03,2.450078427791595459e-01,0.000000000000000000e+00,2.585100829601287842e-01
2.300000000000000000e+01,1.242075022310018539e-02,1.587867923080921173e-02,9.411552761884046658e-01,3.484714341426956019e-01,1.485105603933334351e-03,1.001530885696411133e+00,3.224642947316169739e-03,2.258871048688888550e-01,0.000000000000000000e+00,2.552289068698883057e-01
2.400000000000000000e+01,1.247170567512512207e-02,1.596079766750335693e-02,9.414218665635786243e-01,3.383151494057846653e-01,1.791674643754959106e-03,9.865800142288208008e-01,3.239106154069304466e-03,2.331275939941406250e-01,0.000000000000000000e+00,2.514586448669433594e-01
2.500000000000000000e+01,1.270446926355361938e-02,1.624419726431369781e-02,9.385094000340425957e-01,3.333935499495800370e-01,1.437928527593612671e-03,9.890983700752258301e-01,2.786747179925441742e-03,2.397988140583038330e-01,0.000000000000000000e+00,2.504830062389373779e-01
2.600000000000000000e+01,1.254783198237419128e-02,1.603142172098159790e-02,9.401315544661136281e-01,3.364560658007991201e-01,1.740861684083938599e-03,9.876095056533813477e-01,3.361111273989081383e-03,2.328487932682037354e-01,0.000000000000000000e+00,2.441142052412033081e-01
2.700000000000000000e+01,1.218704693019390106e-02,1.556742936372756958e-02,9.416722990295631757e-01,3.397358338814091550e-01,-1.116804778575897217e-04,1.001842379570007324e+00,2.852466888725757599e-03,2.327151149511337280e-01,0.000000000000000000e+00,2.386730313301086426e-01
